Sample #,Unique Soil ID,Set,Set ID,Soil ID,Rep,Soil.mass,SOC.mass.class,SOC.mass,mmol.Mn.reduced,mmol.C.oxidized,POXC,POXC.max.theoretical,Detectable,SOC.pct,pH,Clay.pct
127,15,UIUC,15,UIUC-15,a,2.5,std,77.5,0.4018,0.3013,1446,1440,0,3.1,6.1,28.36
128,15,UIUC,15,UIUC-15,b,2.5,std,77.5,0.4018,0.3013,1446,1440,0,3.1,6.1,28.36
129,15,UIUC,15,UIUC-15,c,2.5,std,77.5,0.4018,0.3013,1446,1440,0,3.1,6.1,28.36
130,15,UIUC,15,UIUC-15,a,1.35,15mg,41.85,0.4018,0.3013,2678,2667,0,3.1,6.1,28.36
131,15,UIUC,15,UIUC-15,b,1.35,15mg,41.85,0.4018,0.3013,2678,2667,0,3.1,6.1,28.36
132,15,UIUC,15,UIUC-15,c,1.35,15mg,41.85,0.4018,0.3013,2678,2667,0,3.1,6.1,28.36
133,15,UIUC,15,UIUC-15,a,2.25,25mg,69.75,0.4018,0.3013,1607,1600,0,3.1,6.1,28.36
134,15,UIUC,15,UIUC-15,b,2.25,25mg,69.75,0.4018,0.3013,1607,1600,0,3.1,6.1,28.36
135,15,UIUC,15,UIUC-15,c,2.25,25mg,69.75,0.4018,0.3013,1607,1600,0,3.1,6.1,28.36
136,16,UIUC,16,UIUC-16,a,2.5,std,27.75,0.4018,0.3013,1446,1440,0,1.11,8,25.57
137,16,UIUC,16,UIUC-16,b,2.5,std,27.75,0.4018,0.3013,1446,1440,0,1.11,8,25.57
138,16,UIUC,16,UIUC-16,c,2.5,std,27.75,0.4018,0.3013,1446,1440,0,1.11,8,25.57
139,16,UIUC,16,UIUC-16,a,1.35,15mg,14.985,0.4018,0.3013,2678,2667,0,1.11,8,25.57
140,16,UIUC,16,UIUC-16,b,1.35,15mg,14.985,0.4018,0.3013,2678,2667,0,1.11,8,25.57
141,16,UIUC,16,UIUC-16,c,1.35,15mg,14.985,0.4018,0.3013,2678,2667,0,1.11,8,25.57
142,16,UIUC,16,UIUC-16,a,2.25,25mg,24.975,0.4018,0.3013,1607,1600,0,1.11,8,25.57
143,16,UIUC,16,UIUC-16,b,2.25,25mg,24.975,0.4018,0.3013,1607,1600,0,1.11,8,25.57
144,16,UIUC,16,UIUC-16,c,2.25,25mg,24.975,0.4018,0.3013,1607,1600,0,1.11,8,25.57
145,17,UIUC,18,UIUC-18,a,2.5,std,58.75,0.1625,0.1218,585,1440,1,2.35,5.7,30
146,17,UIUC,18,UIUC-18,b,2.5,std,58.75,0.1675,0.1256,603,1440,1,2.35,5.7,30
147,17,UIUC,18,UIUC-18,c,2.5,std,58.75,0.1665,0.1249,599,1440,1,2.35,5.7,30
148,17,UIUC,18,UIUC-18,a,0.63,15mg,14.805,0.0526,0.0394,751,5714,1,2.35,5.7,30
149,17,UIUC,18,UIUC-18,b,0.63,15mg,14.805,0.0551,0.0413,787,5714,1,2.35,5.7,30
150,17,UIUC,18,UIUC-18,c,0.63,15mg,14.805,0.0505,0.0379,722,5714,1,2.35,5.7,30
151,17,UIUC,18,UIUC-18,a,1.06,25mg,24.91,0.0556,0.0417,472,3396,1,2.35,5.7,30
